time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-30T06:44:45.300Z,19.4072,-155.5037,7.1,2.2,ml,,32.3999974080002,0.04491576,0.19,hv,hv60680766,2014-04-30T06:50:32.000Z,"22km N of Pahala, Hawaii",earthquake
2014-04-30T06:44:26.100Z,19.4047,-155.5128,4.1,2.2,Ml,,64.8,0.06288207,0.23,hv,hv60680761,2014-04-30T06:50:21.247Z,"22km N of Pahala, Hawaii",earthquake
2014-04-30T06:20:56.050Z,43.019,94.2571,10,5.3,mb,,51,9.291,0.74,us,usb000q4xj,2014-04-30T06:38:04.871Z,"70km ENE of Hami, China",earthquake
2014-04-30T06:09:05.500Z,13.1203,-90.0281,30.01,4.5,mb,,139,0.958,1.05,us,usb000q4xb,2014-04-30T06:39:19.441Z,"56km SSW of Acajutla, El Salvador",earthquake
2014-04-30T06:07:50.000Z,59.9787,-152.7874,72.3,1.6,ml,,,,0.88,ak,ak11246340,2014-04-30T06:16:42.247Z,"56km S of Redoubt Volcano, Alaska",earthquake
2014-04-30T06:00:34.000Z,62.152,-149.4862,35.7,1.2,ml,,,,0.56,ak,ak11246336,2014-04-30T06:04:21.675Z,"19km E of Y, Alaska",earthquake
2014-04-30T05:51:47.600Z,45.8001,-111.5938,0,2.1,mc,15,71.9999942400005,0.4401745,0.28,mb,mb30435,2014-04-30T05:52:23.943Z,"10km SSW of Three Forks, Montana",earthquake
2014-04-30T05:43:15.100Z,0.7044,-77.814,38.59,4.8,mb,,134,4.158,1.36,us,usb000q4wu,2014-04-30T06:12:00.913Z,"11km N of San Gabriel, Ecuador",earthquake
2014-04-30T05:36:20.000Z,60.5466,-151.9899,100,1.3,ml,,,,1.35,ak,ak11246332,2014-04-30T05:40:04.149Z,"40km W of Kenai, Alaska",earthquake
2014-04-30T05:34:55.000Z,61.6342,-150.1093,35.9,1,ml,,,,0.53,ak,ak11246331,2014-04-30T05:40:02.948Z,"13km SSW of Willow, Alaska",earthquake
2014-04-30T05:21:14.700Z,-33.0428,-178.845,8.78,5.3,mb,,69,3.866,1.33,us,usb000q4wg,2014-04-30T13:23:53.816Z,"178km S of L'Esperance Rock, New Zealand",earthquake
2014-04-30T05:16:30.000Z,63.1939,-150.4315,100,1.3,ml,,,,1.05,ak,ak11246322,2014-04-30T05:24:28.538Z,"77km WSW of Cantwell, Alaska",earthquake
2014-04-30T05:13:27.800Z,36.5947,-121.094,5.9,1.3,Md,10,64.8,0.04491576,0.11,nc,nc72212251,2014-04-30T10:16:08.776Z,"28km NE of Soledad, California",earthquake
2014-04-30T05:12:20.600Z,38.723,-122.7368,14.7,1.2,Md,8,226.8,0.05389892,0.16,nc,nc72212246,2014-04-30T09:41:05.066Z,"6km SSE of The Geysers, California",earthquake
2014-04-30T04:57:27.000Z,61.3012,-151.2484,58.1,1.6,ml,,,,0.83,ak,ak11246319,2014-04-30T05:03:19.588Z,"68km N of Nikiski, Alaska",earthquake
2014-04-30T04:34:36.000Z,63.2964,-148.8915,7.3,0.8,ml,,,,0.14,ak,ak11246318,2014-04-30T04:37:42.954Z,"11km SSE of Cantwell, Alaska",earthquake
2014-04-30T04:23:34.000Z,61.0814,-147.2565,50,1.2,ml,,,,0.55,ak,ak11246316,2014-04-30T04:27:24.829Z,"49km W of Valdez, Alaska",earthquake
2014-04-30T04:15:56.000Z,59.571,-152.8961,90.5,2.7,ml,,,,0.88,ak,ak11246307,2014-04-30T12:18:35.672Z,"64km WSW of Anchor Point, Alaska",earthquake
2014-04-30T04:03:33.210Z,38.2406,25.1534,10,4.8,mb,,42,1.882,0.94,us,usb000q4uy,2014-04-30T08:44:17.151Z,"49km NNE of Andros, Greece",earthquake
2014-04-30T03:48:42.000Z,61.2555,-147.672,10.4,1.8,ml,,,,0.71,ak,ak11246296,2014-04-30T03:52:38.595Z,"72km WNW of Valdez, Alaska",earthquake
2014-04-30T03:36:26.870Z,-23.357,-175.8335,35,5.3,mb,,45,6.157,1.37,us,usb000q4uf,2014-04-30T11:39:05.909Z,"241km SSW of `Ohonua, Tonga",earthquake
2014-04-30T03:34:57.000Z,60.0366,-141.2214,14.6,1.4,ml,,,,1.51,ak,ak11246293,2014-04-30T03:39:27.956Z,"67km E of Cape Yakataga, Alaska",earthquake
2014-04-30T03:16:54.860Z,33.9233322,-117.9376678,0.81,2.4,ml,71,51,0.02487,0.35,ci,ci37218696,2014-04-30T07:58:23.606Z,"1km SE of La Habra, California",earthquake
2014-04-30T03:03:09.000Z,61.126,-149.7035,28.2,1,ml,,,,0.75,ak,ak11246291,2014-04-30T03:09:51.716Z,"14km SE of Anchorage, Alaska",earthquake
2014-04-30T02:57:51.800Z,37.3798,-122.1912,4.5,1.3,Md,8,104.4,0.01796631,0.02,nc,nc72212216,2014-04-30T07:32:06.303Z,"2km SSE of Ladera, California",earthquake
2014-04-30T02:51:26.000Z,60.2062,-147.7298,0,1.8,ml,,,,0.1,ak,ak11246289,2014-04-30T02:54:55.916Z,"82km SE of Whittier, Alaska",earthquake
2014-04-30T02:48:54.000Z,60.4899,-149.4879,28.5,1.4,ml,,,,0.54,ak,ak11246287,2014-04-30T02:54:51.149Z,"36km N of Bear Creek, Alaska",earthquake
2014-04-30T02:47:44.100Z,38.819,-122.7952,3.3,0.8,Md,12,75.6,0.00898315,0.02,nc,nc72212211,2014-04-30T03:56:03.307Z,"5km NW of The Geysers, California",earthquake
2014-04-30T02:46:11.100Z,37.9812,-122.054,14.7,2.1,Md,35,126,0.09881468,0.09,nc,nc72212206,2014-04-30T07:07:03.760Z,"1km E of Pacheco, California",earthquake
2014-04-30T02:44:49.000Z,61.3482,-151.3611,48.5,1.7,ml,,,,0.92,ak,ak11246285,2014-04-30T02:54:49.809Z,"73km N of Nikiski, Alaska",earthquake
